Date,Open,High,Low,Close,AdjClose,Volume
2025-02-14,536.0100,538.8400,535.6700,538.1500,534.1732,17862600
2025-02-18,539.7300,540.0000,536.0400,539.3700,535.3842,20565000
2025-02-19,538.5700,540.8100,536.4600,539.5200,535.5331,19666900
2025-02-20,538.7300,539.1000,532.4600,537.2300,533.2600,26550800
2025-02-21,538.3800,538.4000,525.7100,526.0800,522.1924,47093800
2025-02-24,527.8800,529.0700,519.5300,519.8700,516.0283,39268400
2025-02-25,519.2400,519.3200,509.4400,513.3200,509.5267,48940000
2025-02-26,515.5300,519.6600,511.3700,514.5600,510.7574,34457600
2025-02-27,518.1300,519.0700,500.0500,500.2700,496.5731,52448000
2025-02-28,500.1300,508.7800,496.9300,508.1700,504.4147,47654000
2025-03-03,511.5200,513.0400,493.5800,497.0500,493.3769,44587200
2025-03-04,494.1800,503.7400,487.7400,495.5500,491.8880,67875400
2025-03-05,496.2000,503.6300,491.2600,502.0100,498.3002,46323700
2025-03-06,493.6900,498.5800,486.2000,488.2000,484.5923,57574300
2025-03-07,487.1600,493.2800,480.5300,491.7900,488.1558,54714700
2025-03-10,483.4500,483.9700,468.6600,472.7300,469.2366,76668000
2025-03-11,472.3500,478.8100,467.0100,471.6000,468.1150,68760800
2025-03-12,479.1600,481.0600,471.7900,476.9200,473.3957,46971100
2025-03-13,476.2500,476.2800,466.4300,468.3400,464.8791,46563300
2025-03-14,473.7300,480.5600,473.1200,479.6600,476.1154,43563000
2025-03-17,479.6100,485.8400,477.8000,482.7700,479.2024,41744400
2025-03-18,479.4100,479.6100,472.4100,474.5400,471.0332,39072300
2025-03-19,476.8100,485.3300,474.8700,480.8900,477.3363,40430300
2025-03-20,476.8800,484.5500,476.1800,479.2600,475.7184,36780500
2025-03-21,474.0800,481.6100,472.9100,480.8400,477.2867,42234900
2025-03-24,487.7400,491.5100,484.4000,490.6600,487.7604,34567200
2025-03-25,491.3900,493.6200,490.4200,493.4600,490.5439,26035200
2025-03-26,492.3000,493.1600,482.8200,484.3800,481.5175,34627100
2025-03-27,482.4100,486.5800,480.2500,481.6200,478.7738,33469800
2025-03-28,479.8100,480.5200,468.0500,468.9400,466.1688,46363800
2025-03-31,461.9200,469.8600,457.3300,468.9200,466.1489,53000300
2025-04-01,467.3000,473.6300,464.4200,472.7000,469.9066,41156200
2025-04-02,466.1200,479.5600,465.8600,476.1500,473.3362,49894500
2025-04-03,456.4400,460.0700,450.1400,450.6600,447.9968,70456300
2025-04-04,438.1400,440.3700,422.6700,422.6700,420.1722,117088400
2025-04-07,408.6600,443.1400,402.3900,423.6900,421.1862,161557000
2025-04-08,438.1600,443.1400,409.7900,416.0600,413.6013,101248100
2025-04-09,415.5700,467.8300,415.4300,466.0000,463.2461,142876900
2025-04-10,453.5600,455.5900,432.6300,446.1800,443.5433,108384100
2025-04-11,444.6500,455.7900,441.3300,454.4000,451.7147,52483800
2025-04-14,464.4600,465.0500,452.6300,457.4800,454.7765,43941200
2025-04-15,458.5400,462.3800,456.1500,457.9900,455.2835,35404200
2025-04-16,449.0300,452.6200,437.7600,444.1800,441.5551,48980600
2025-04-17,447.1700,447.7500,441.3600,444.1000,441.4755,44837000
2025-04-21,438.2300,439.0800,427.9300,433.1100,430.5505,44149300
2025-04-22,438.8200,447.5800,437.6200,444.4800,441.8533,52304400
2025-04-23,458.1700,463.3800,452.8800,454.5600,451.8737,55801100
2025-04-24,456.4800,467.6600,455.8300,467.3500,464.5881,45956100
2025-04-25,466.9700,473.0900,465.3900,472.5600,469.7674,38697100
2025-04-28,473.0300,474.8100,466.0300,472.4100,469.6183,33550800
2025-04-29,470.1700,476.4200,469.5900,475.5300,472.7198,30613100
2025-04-30,467.1300,477.2000,462.4300,475.4700,472.6602,46810600
2025-05-01,483.4100,487.1800,480.7400,481.6800,478.8335,43316500
2025-05-02,486.5400,490.9100,484.8300,488.8300,485.9412,39218100
2025-05-05,484.6000,489.0300,484.1000,485.9300,483.0583,28309500
